Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Bus,Bus with ULB Reported,Bus >= ULB,Articulated Bus,Articulated Bus with ULB Reported,Articulated Bus >= ULB,Over-the-Road Bus,Over-the-Road Bus with ULB Reported,Over-the-Road Bus >= ULB,Double Decker Bus,Double Decker Bus with ULB Reported,Double Decker Bus >= ULB,School Bus,SchoolBus with ULB Reported,School Bus >= ULB,Van,Van with ULB Reported,Van >= ULB,Cutaway,Cutaway with ULB Reported,Cutaway >= ULB,Automobile,Automobile with ULB Reported,Automobile >= ULB,Minivan,Minivan with ULB Reported,Minivan >= ULB,Sport Utility Vehicle,Sport Utility Vehicle with ULB Reported,Sport Utility Vehicle >= ULB,Trolleybus,TrolleyBus with ULB Reported,Trolleybus >= ULB,Heavy Rail Passenger Car,Heavy Rail Passenger Car with ULB Reported,Heavy Rail Passenger Car >= ULB,Light Rail Vehicle,Light Rail Vehicle with ULB Reported,Light Rail Vehicle >= ULB,Commuter Rail Passenger Coach,Commuter Rail Passenger Coach with ULB Reported,Commuter Rail Passenger Coach >= ULB,Commuter Rail Self-Propelled Passenger Car,Commuter Rail Self-Propelled Passenger Car with ULB Reported,Commuter Rail Self-Propelled Passenger Car >= ULB,Locomotive,Locomotive with ULB Reported,Locomotive >= ULB,Automated Guideway Vehicle,Automated Guideway Vehicle with ULB Reported,Automated Guideway Vehicle >= ULB,Vintage/Historic Trolley,Vintage/Historic Trolley with ULB Reported,Vintage/Historic Trolley >= ULB,Streetcar,Streetcar with ULB Reported,Streetcar >= ULB,Aerial Tramway,Aerial Tramway with ULB Reported,Aerial Tramway >= ULB,Monorail,Monorail >= ULB,Cable Car,Cable Car with ULB Reported,Cable Car >= ULB,Inclined Plane,Inclined Plane with ULB Reported,Inclined Plane >= ULB,Ferryboat,Ferryboat with ULB Reported,Ferryboat >= ULB,Other,Other with ULB Reported,Other >= ULB,Total Revenue Vehicles,Total with ULB Reported,Total Revenue Vehicles >= ULB,Automobiles,Automobiles >= ULB,Trucks and Other Rubber Tire Vehicles,Trucks and Other Rubber Tire Vehicles >= ULB,Steel Wheel Vehicles,Steel Wheel Vehicles >= ULB,Total Service Vehicles,Total Service Vehicles >= ULB
Martha's Vineyard Transit Authority,Edgartown,MA,10145,Public Agency or Authority of Transit Service,Rural Reporter,,,,31,31,31,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,4,18,8,0,0,0,0,18,8
"City of Williamsport, dba: River Valley Transit",Williamsport,PA,30026,County or Local Government Unit or Department of Transportation,Full Reporter,95455,"Williamsport, PA","55,344",31,40,40,10,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,42,11,2,1,14,7,0,0,16,8
Anne Arundel County,Annapolis,MD,30129,County or Local Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,40,40,0,0,40,40
"Yadkin Valley Economic Development District, Inc.",Boonville,NC,41134,Corporation,Rural Reporter,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,6,32,32,5,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,19,0,0,0,0,0,0,0,0
West Alabama Rural Public Transportation,Demopolis,AL,44926,Corporation,Rural Reporter,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,38,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,42,0,0,2,0,0,0,2,0
Bloomington Public Transportation Corporation,Bloomington,IN,50110,Public Agency or Authority of Transit Service,Full Reporter,8380,"Bloomington, IN","110,103",31,40,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,17,2,0,9,1,0,0,11,1
City of Kokomo,Kokomo,IN,50145,County or Local Government Unit or Department of Transportation,Full Reporter,45694,"Kokomo, IN","62,576",31,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,1,0,0,0,0,0,0,0,0
"Ozaukee County , dba: Ozaukee County Transit Services",Port Washington,WI,50161,County or Local Government Unit or Department of Transportation,Full Reporter,57466,"Milwaukee, WI","1,306,795",31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,11,4,4,4,0,7,7,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,27,6,0,0,0,0,0,0,0,0
Menominee Indian Tribe of Wisconsin,Keshena,WI,55228,Tribe,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",31,1,1,0,0,0,0,0,0,0,0,0,0,6,6,6,2,2,1,23,23,17,0,0,0,23,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,31,1,1,3,1,0,0,4,2
"City of Waco, dba: Waco Transit System, Inc.",Waco,TX,60012,County or Local Government Unit or Department of Transportation,Full Reporter,91027,"Waco, TX","192,844",31,25,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,22,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,37,3,3,3,3,0,0,6,6
"Little Dixie Community Action Agency, Inc.",Hugo,OK,60191,Corporation,Rural Reporter,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,20,20,19,0,0,0,22,22,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,27,0,0,0,0,0,0,0,0
"MAGB Transportation, Inc.",Fairview,OK,66274,Corporation,Rural Reporter,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,29,29,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,8,0,0,0,0,0,0,0,0
Siouxland Regional Transit System,Sioux City,IA,70129,COG or Other Planning Agency,Rural Reporter,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,53,13,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,55,13,0,0,0,0,0,0,0,0
"Su Tran LLC , dba: Sioux Area Metro",Sioux Falls,SD,80002,Provider Reporting on Behalf of a Public Entity,Full Reporter,82252,"Sioux Falls, SD","194,283",31,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,6,0,0,0,6,0
"Summit County, dba: Summit Stage",Breckenridge,CO,80161,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,31,27,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14,4,4,6,1,0,0,10,5
City of Santa Rosa,Santa Rosa,CA,90017,County or Local Government Unit or Department of Transportation,Full Reporter,79498,"Santa Rosa, CA","297,329",31,28,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,8,1,1,8,2,0,0,9,3
"City of Norwalk , dba: Norwalk Transit System",Norwalk,CA,90022,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",31,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,4,11,3,2,1,0,0,13,4
Solano County Transit,Vallejo,CA,90232,Public Agency or Authority of Transit Service,Full Reporter,90028,"Vallejo, CA","175,132",31,26,26,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,1,1,9,0,0,0,10,1
Greater Portland Transit District,Portland,ME,10016,Public Agency or Authority of Transit Service,Full Reporter,71263,"Portland, ME","205,356",30,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,1,0,4,0,0,0,5,0
Green Mountain Community Network,Bennington,VT,10151,Corporation,Rural Reporter,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,6,0,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,11,0,0,0,0,0,0,0,0
Ulster County,Kingston,NY,20178,County or Local Government Unit or Department of Transportation,Full Reporter,71803,"Poughkeepsie--Newburgh, NY","314,766",30,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,1,1,1,3,2,0,0,4,3
Beaver County Transit Authority,Rochester,PA,30023,Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",30,9,9,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,22,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,2,2,2,4,2,0,0,6,4
"County Commissioners of Charles County, MD",La Plata,MD,30088,County or Local Government Unit or Department of Transportation,Full Reporter,91261,"Waldorf, MD","118,601",30,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,5,0,0,0,0,0,0,0,0
"Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority",Morgantown,WV,30089,Public Agency or Authority of Transit Service,Reduced Reporter,59275,"Morgantown, WV","77,620",30,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,1,0,3,0,0,0,4,0
"Macon-Bibb County Transit Authority, dba: Public Bus Transportation",Macon,GA,40130,Public Agency or Authority of Transit Service,Reduced Reporter,52822,"Macon-Bibb County, GA","140,111",30,24,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,15,0,0,0,0,0,0,0,0
North Carolina State University,Raleigh,NC,40147,University,Full Reporter,73261,"Raleigh, NC","1,106,646",30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit",Knoxville,TN,40171,County or Local Government Unit or Department of Transportation,Full Reporter,45640,"Knoxville, TN","597,257",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,47,47,5,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,9,0,0,1,1,0,0,1,1
Virgin Islands Department of Public Works,Charlotte Amalie,VI,40188,Government Unit or Department of Transportation,Reduced Reporter,78,"Virgin Islands, VI","87,146",30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,14,12,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,17,0,0,32,21,0,0,32,21
Kentuckiana Regional Planning and Development Agency,Louisville,KY,40196,COG or Other Planning Agency,Full Reporter,51755,"Louisville/Jefferson County, KY--IN","974,397",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,1,0,0,0,0,0,0,0,0
"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Bay Minette,AL,40928,County or Local Government Unit or Department of Transportation,Full Reporter,28766,"Fairhope--Daphne, AL","76,807",30,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,35,35,19,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,28,0,0,2,2,0,0,2,2
Cullman County Commission,Cullman,AL,40965,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,1,0,0,0,1,0
Murray-Calloway County Transit Authority,Murray,KY,41053,Public Agency or Authority of Transit Service,Rural Reporter,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,15,15,0,0,0,0,10,10,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4,0,0,0,0,0,0,0,0
FDOT - vanpool,Tallahassee,FL,41095,Corporation,Rural Reporter,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,5,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0
"City of Macomb, dba: McDonough County Public Transportation",Macomb,IL,50232,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,30,18,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,18,0,0,0,0,0,0,0,0
Columbiana County/Community Action Rural Transit System,Lisbon,OH,50481,Corporation,Rural Reporter,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,18,18,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,1,1,0,0,0,0,1,1
"The Transit System, Inc.",Glen Rose,TX,60264,Publicly-Owned or Privately Chartered Corporation,Rural Reporter,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,19,19,9,8,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,13,6,3,0,0,0,0,6,3
Shelby County,Shelbyville,IL,50496,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,29,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,2,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,5,0,0,1,0,0,0,1,0
Cape Girardeau County Transit Authority,Cape Girardeau,MO,70051,Public Agency or Authority of Transit Service,Reduced Reporter,13537,"Cape Girardeau, MO--IL","55,546",30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,7,7,1,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,2,2,0,0,0,0,0,2,0
"West River Transit Authority, Inc., dba: Prairie Hills Transit",Spearfish,SD,80253,Corporation,Rural Reporter,,,,30,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,30,30,17,1,1,1,15,15,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,27,2,0,1,0,0,0,3,0
"City of Gardena, dba: GTrans",Gardena,CA,90042,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",30,52,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,6,11,7,5,4,0,0,16,11
Southeast Area Transit District,Preston,CT,10040,Public Agency or Authority of Transit Service,Full Reporter,64135,"Norwich--New London, CT","167,432",29,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,5,0,0,10,5,0,0,10,5
"Advance Transit, Inc. NH",White River Junction,VT,10137,Corporation,Rural Reporter,,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tri River Transit,West Hamlin,WV,30183,Public Agency or Authority of Transit Service,Rural Reporter,,,,29,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,10,10,6,0,0,0,14,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,20,1,0,1,1,0,0,2,1
Pee Dee Regional Transportation Authority,Florence,SC,40056,Public Agency or Authority of Transit Service,Reduced Reporter,30061,"Florence, SC","89,436",29,18,18,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,21,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,17,0,0,3,2,0,0,3,2
"City of Clarksville, dba: Clarksville Transit System",Clarksville,TN,40092,County or Local Government Unit or Department of Transportation,Reduced Reporter,17317,"Clarksville, TN--KY","200,947",29,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,1,0,0,20,4,0,0,20,4
Waccamaw Regional Transportation Authority,Conway,SC,40102,Public Agency or Authority of Transit Service,Reduced Reporter,60895,"Myrtle Beach--North Myrtle Beach, SC--NC","298,954",29,22,22,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,7,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,9,4,0,2,2,0,0,6,2
Wiregrass Transit Authority,Dothan,AL,40103,COG or Other Planning Agency,Reduced Reporter,24472,"Dothan, AL","72,423",29,2,2,0,0,0,0,0,0,0,0,0,0,15,0,0,16,0,0,13,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,15,7,1,0,0,0,0,0,1,0
"St Johns County, Florida, dba: Sunshine Bus Co.",Saint Augustine,FL,40155,County or Local Government Unit or Department of Transportation,Reduced Reporter,77230,"St. Augustine, FL","91,786",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2,26,26,14,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,18,0,0,2,1,0,0,2,1
"KY River Foothills Development Council, Inc.",Richmond,KY,40979,Corporation,Rural Reporter,,,,29,20,20,7,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,20,20,8,0,0,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,18,1,1,0,0,0,0,1,1
City of Oxford,Oxford,MS,41052,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,29,26,26,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,20,0,0,0,0,0,0,0,0
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",Bluffton,SC,41092,Public Agency or Authority of Transit Service,Reduced Reporter,8601,"Bluffton East--Hilton Head Island, SC","71,824",29,4,4,0,0,0,0,12,12,6,0,0,0,0,0,0,4,4,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,6,0,0,2,1,0,0,2,1
"Prairie Five CAC, Inc.",Montevideo,MN,50334,Public Agency or Authority of Transit Service,Rural Reporter,,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,27,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,8,2,2,2,0,0,0,4,2
Marquette County Transit Authority,Marquette,MI,50427,Public Agency or Authority of Transit Service,Rural Reporter,,,,29,25,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,6,0,0,3,3,0,0,3,3
"City of Santa Fe, dba: Santa Fe Trails",,NM,60077,County or Local Government Unit or Department of Transportation,Full Reporter,79363,"Santa Fe, NM","94,241",29,28,28,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,4,4,4,4,4,4,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,22,3,3,8,6,0,0,11,9
