Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
"San Diego Association of Governments, dba: SANDAG",San Diego,CA,90095,COG or Other Planning Agency,Full Reporter,78661,"San Diego, CA","3,070,300",391,Van,41,147,242,82,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,531,1.81,"46,611"
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,Van,0,0,0,64,29,52,79,42,0,0,0,0,0,0,0,0,0,0,0,266,5.02,"57,326"
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,Trucks and other Rubber Tire Vehicles (Service),0,3,4,11,11,12,4,1,39,0,1,0,3,8,0,0,0,0,0,97,,
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,Sports Utility Vehicle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,"2,961"
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,Cutaway,0,0,0,28,0,0,39,0,31,0,9,0,0,0,0,0,0,0,0,107,6.13,"122,760"
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,Bus,9,33,0,23,26,7,10,10,6,6,0,0,9,21,0,0,0,0,0,160,5.53,"231,855"
Pierce County Transportation Benefit Area Authority,Lakewood,WA,00003,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",382,Automobiles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,30070,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",380,Van,0,2,12,22,3,17,7,17,14,8,21,7,0,0,0,0,0,0,0,130,6.32,"663,853"
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,30070,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",380,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,,
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,30070,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",380,Sports Utility Vehicle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,886
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,30070,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",380,Over-the-road Bus,0,0,6,0,37,5,0,0,1,0,5,4,0,23,23,0,0,0,0,104,9.73,"360,026"
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,30070,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",380,Minivan,4,34,29,32,11,20,32,22,19,13,5,2,2,0,0,0,0,0,0,225,4.64,"501,142"
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,30070,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",380,Bus,0,0,0,3,0,0,13,0,0,16,13,0,2,0,0,0,0,0,0,47,8.19,"306,547"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Van,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.00,"77,172"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Trucks and other Rubber Tire Vehicles (Service),9,0,0,0,2,1,2,7,30,7,3,0,2,16,4,2,0,1,0,86,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Steel Wheel Vehicles (Service),0,1,0,1,1,0,0,0,0,0,0,0,0,3,2,2,0,10,1,21,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Over-the-road Bus,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.00,"60,024"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Minivan,0,0,0,0,3,3,1,0,18,3,0,0,0,0,0,0,0,0,0,28,7.29,"138,871"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,41.00,"1,026,580"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Heavy Rail Passenger Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,38.00,"1,666,142"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Cutaway,0,15,8,29,13,36,0,0,0,11,0,0,0,0,0,0,0,0,0,112,4.01,"126,161"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Bus,0,20,25,0,33,29,16,101,0,0,0,0,0,0,36,0,0,0,0,260,6.71,"312,222"
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Automobiles (Service),4,14,7,8,5,10,4,31,28,11,1,0,1,3,1,0,0,0,0,128,,
The Greater Cleveland Regional Transit Authority,Cleveland,OH,50015,Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",375,Articulated Bus,0,16,0,0,0,0,0,0,23,0,0,0,0,14,0,0,0,0,0,53,7.62,"202,097"
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,50008,County or Local Government Unit or Department of Transportation,Full Reporter,57466,"Milwaukee, WI","1,306,795",373,Trucks and other Rubber Tire Vehicles (Service),2,2,1,9,6,4,5,2,0,0,2,2,1,0,7,10,1,2,0,56,,
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,50008,County or Local Government Unit or Department of Transportation,Full Reporter,57466,"Milwaukee, WI","1,306,795",373,Bus,44,14,22,28,0,15,30,28,35,55,45,11,19,0,0,0,0,0,0,346,6.26,"336,114"
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,Trucks and other Rubber Tire Vehicles (Service),0,2,11,5,10,10,5,33,42,13,7,0,0,8,15,1,2,0,0,164,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,Steel Wheel Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,52,0,90,28.10,"1,109,354"
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,Cutaway,0,0,26,74,14,11,0,3,1,0,0,0,40,0,0,0,0,0,0,169,5.29,"48,153"
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,Bus,16,3,0,6,17,0,5,0,120,0,0,0,14,67,5,0,0,0,0,253,8.97,"249,421"
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,Automobiles (Service),0,0,0,1,6,0,1,0,12,0,0,3,0,4,2,0,0,0,0,29,,
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,Trucks and other Rubber Tire Vehicles (Service),0,4,1,0,1,6,1,1,9,3,0,3,0,3,1,0,0,0,0,33,,
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,Sports Utility Vehicle,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.00,"37,043"
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,Minivan,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.00,"64,728"
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,Cutaway,9,5,0,12,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3.28,"164,644"
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,Bus,105,7,0,0,0,0,0,0,0,0,0,0,0,122,13,0,0,0,0,247,7.45,"225,368"
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,Automobile,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4.53,"111,275"
"Westchester County, dba: The Bee-Line System",White Plains,NY,20076,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",366,Articulated Bus,0,0,0,43,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3.45,"139,098"
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,90147,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",363,Van,0,0,0,2,5,4,3,2,6,0,5,6,8,11,2,0,0,0,0,54,9.65,"71,196"
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,90147,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",363,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,,
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,90147,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",363,Over-the-road Bus,0,0,0,5,0,6,9,0,0,0,93,2,0,0,0,0,0,0,0,115,9.14,"318,131"
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,90147,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",363,Cutaway,0,0,0,20,10,0,0,0,0,0,0,23,0,7,0,0,0,0,0,60,7.40,"121,636"
"City of Los Angeles, dba: City of Los Angeles Department of Transportation",Los Angeles,CA,90147,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",363,Bus,0,1,25,0,0,14,20,54,0,31,36,0,0,29,20,0,0,0,0,230,8.56,"268,367"
San Joaquin Council,Stockton,CA,99422,COG or Other Planning Agency,Full Reporter,85087,"Stockton, CA","414,847",360,Van,0,1,27,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2.39,"48,839"
San Joaquin Council,Stockton,CA,99422,COG or Other Planning Agency,Full Reporter,85087,"Stockton, CA","414,847",360,Sports Utility Vehicle,16,49,47,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1.66,"32,262"
San Joaquin Council,Stockton,CA,99422,COG or Other Planning Agency,Full Reporter,85087,"Stockton, CA","414,847",360,Minivan,40,57,24,53,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,186,1.69,"32,842"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,Trucks and other Rubber Tire Vehicles (Service),0,7,3,0,12,1,0,5,2,3,0,3,0,3,0,0,0,0,0,39,,
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,Minivan,0,0,28,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,43,4.09,"136,364"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,Cutaway,37,26,91,41,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,230,2.59,"97,424"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,Bus,0,45,11,0,0,14,10,19,9,9,12,7,0,0,0,0,0,0,0,136,5.00,"285,012"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.",West Palm Beach,FL,40037,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",359,Automobiles (Service),0,0,14,0,13,1,2,14,0,9,0,0,0,0,0,0,0,0,0,53,,
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,Van,0,15,0,0,4,8,0,4,3,0,3,0,0,0,0,0,0,0,0,37,4.14,"86,727"
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,4,,
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,Over-the-road Bus,0,0,0,0,0,2,0,0,1,1,1,2,1,5,0,0,0,0,0,13,11.23,"341,863"
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,Minivan,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,8,6.62,"155,858"
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,Cutaway,0,46,0,23,9,47,16,33,10,10,1,5,1,1,0,0,0,0,0,202,4.82,"159,160"
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,Bus,0,0,12,0,2,8,0,0,0,3,0,0,0,0,0,0,0,0,0,25,3.96,"173,137"
Central Pennsylvania Transportation Authority,York,PA,30027,Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,Automobiles (Service),0,0,5,0,5,0,2,0,3,0,1,0,2,0,0,1,0,0,0,19,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,Van,0,2,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2.00,"76,033"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,Trucks and other Rubber Tire Vehicles (Service),0,3,0,0,0,0,1,4,0,1,4,10,8,3,1,4,1,0,0,40,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,13.00,"469,746"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,Ferryboat,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14.00,"79,495"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,Cutaway,0,0,44,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,54,2.93,"156,210"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,Bus,0,38,6,29,28,1,0,55,0,5,9,16,0,55,17,0,0,0,0,259,7.94,"332,146"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,Automobiles (Service),0,0,0,0,0,0,1,0,1,2,11,1,5,36,9,0,0,0,0,66,,
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,Van,0,14,4,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2.52,"56,689"
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,Trucks and other Rubber Tire Vehicles (Service),1,0,0,6,5,3,3,0,3,4,0,6,0,2,2,0,0,0,0,35,,
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,Minivan,0,0,5,4,4,14,16,6,5,2,0,0,0,0,0,0,0,0,0,56,5.43,"104,706"
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,Cutaway,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,18,4.67,"182,568"
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,Bus,0,0,40,16,14,24,12,12,15,20,20,2,40,41,0,0,0,0,0,256,7.90,"361,241"
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,Automobiles (Service),3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,
Capital District Transportation Authority,Albany,NY,20002,Public Agency or Authority of Transit Service,Full Reporter,970,"Albany--Schenectady, NY","593,142",323,Articulated Bus,4,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,14,3.71,"136,303"
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",321,Trucks and other Rubber Tire Vehicles (Service),18,51,37,10,1,14,15,18,18,5,2,0,0,3,6,4,0,0,0,202,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",321,Steel Wheel Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,,
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",321,Over-the-road Bus,0,0,0,0,0,12,0,0,0,0,0,0,16,10,0,0,0,0,0,38,10.24,"881,048"
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",321,Light Rail Vehicle,0,64,0,0,0,0,0,0,0,0,0,0,27,0,38,0,0,0,0,129,7.81,"460,039"
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,00040,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",321,Double Decker Bus,0,0,0,13,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,50,4.68,"246,986"
